Age,Salary,Buy
33.73,68573.31,0
57.93,63278.57,0
48.74,42900.01,0
43.14,98944.67,1
24.55,81961.14,0
24.55,132541.13,1
20.44,24174.25,0
54.38,103702.83,1
43.25,119183.35,1
47.74,118733.25,1
18.86,135189.62,1
58.74,114774.39,1
52.96,140615.31,1
26.92,63245.36,0
25.64,85417.22,0
25.7,21830.36,0
30.78,20904.49,0
40.04,51216.46,0
36.14,33104.94,0
30.23,53827.48,0
43.7,43015.63,0
23.86,23707.6,0
30.27,138209.54,1
33.39,21069.01,0
37.15,115690.68,1
50.98,39779.23,0
26.39,138589.85,1
39.6,136063.47,1
42.88,105007.15,1
19.95,107390.44,0
43.52,20694.09,0
25.16,148033.3,1
20.73,134118.24,1
57.85,136363.81,1
58.56,105701.79,1
51.95,64822.3,0
30.79,136174.32,1
22.1,57897.2,0
46.74,93152.5,0
36.49,32965.03,0
23.13,139854.23,1
38.8,38300.16,0
19.44,49236.58,0
56.19,92557.44,1
28.87,119332.09,1
45.83,100515.67,1
31.09,50177.41,0
39.84,20122.6,0
40.96,118429.58,1
25.76,148076.95,1
58.72,125288.71,1
50.56,79826.86,0
57.46,137489.74,1
55.58,73280.2,0
43.11,88241.43,0
56.72,82026.87,1
21.72,78191.1,0
26.23,120774.8,1
19.9,88479.96,0
31.66,61173.23,0
34.32,53560.56,0
29.4,24907.15,0
52.81,95815.37,1
32.98,49894.98,0
29.8,39257.41,0
40.79,104997.9,1
23.92,108557.2,0
51.69,117780.14,1
21.13,85465.0,0
59.45,136227.1,1
50.43,141724.56,1
26.35,124958.22,1
18.23,102627.15,0
52.25,59483.72,0
47.69,147782.84,1
48.62,55637.7,0
50.39,46345.4,0
21.11,77480.03,0
33.06,27389.27,0
22.87,147204.28,1
54.25,96496.36,1
44.18,92403.77,0
31.9,105253.52,0
20.67,84613.07,0
31.06,24168.26,0
31.66,99600.47,0
48.64,113102.6,1
44.78,74177.38,0
55.26,118448.42,1
37.83,49510.17,0
23.02,48765.96,0
47.96,40984.21,0
49.95,68359.32,0
41.57,130111.56,1
50.38,127628.57,1
38.74,69767.15,0
39.95,96585.44,0
35.96,113706.12,1
19.07,51356.88,0
22.53,41858.34,0
19.32,146372.48,1
44.73,100282.45,1
31.2,147584.04,1
39.36,63908.28,0
56.12,111394.12,1
28.47,48938.47,0
35.24,53956.02,0
49.73,86547.28,0
27.61,61550.36,0
21.23,41790.8,0
30.17,54174.49,0
24.77,24647.29,0
57.05,111575.07,1
51.94,83975.17,0
44.6,32251.6,0
54.6,42320.22,0
51.75,33329.49,0
25.84,99637.07,0
55.49,32247.35,0
40.65,118056.7,1
51.91,22666.42,0
55.64,52418.85,0
31.36,135786.67,1
22.62,113409.07,0
27.57,29485.88,0
35.94,126746.39,1
52.36,84094.57,0
54.15,130081.79,1
18.29,98096.17,0
39.45,108638.29,1
35.53,149155.2,1
27.33,50203.62,0
23.03,101112.92,0
32.18,79841.78,0
57.6,25128.75,0
31.57,21881.18,0
39.79,35499.72,0
47.53,104381.93,1
33.27,93731.2,0
58.81,91945.84,1
58.42,24141.38,0
28.57,81009.39,0
38.88,140200.97,1
30.64,71686.94,0
29.96,101239.92,0
19.55,121376.43,0
43.6,121910.29,1
39.11,87506.41,0
20.16,131533.75,1
29.7,70879.15,0
56.15,135530.12,1
28.06,51229.53,0
24.09,56428.13,0
38.56,26905.68,0
59.4,123425.64,1
28.17,74217.18,0
46.23,49785.16,0
49.99,50132.74,0
27.98,137181.99,1
48.59,128409.16,1
33.45,91959.02,0
44.56,100094.4,1
44.61,81662.32,0
40.5,70916.65,0
21.79,139011.99,1
53.08,36329.65,0
31.47,74398.08,0
25.83,64793.05,0
19.71,84759.59,0
42.82,79492.14,0
46.46,87455.64,0
18.7,38189.47,0
39.51,86708.4,0
27.51,51514.45,0
45.1,43963.08,0
25.32,28428.45,0
47.02,119144.83,1
34.24,75567.45,0
57.34,101463.68,1
23.78,114587.13,0
32.32,108311.17,0
22.77,81165.09,0
56.84,70426.81,0
54.85,68874.79,0
28.83,103206.34,0
45.72,84323.27,0
52.32,130387.19,1
41.32,133711.26,1
40.25,42172.85,0
28.16,37710.37,0
21.91,101952.12,0
55.68,59159.35,0
55.82,22414.19,0
44.59,135523.55,1
32.24,49497.1,0
32.67,140806.48,1
48.49,113266.48,1
55.68,119144.95,1
55.26,46189.99,0
50.75,50445.28,0
44.97,87764.81,0
21.53,42372.98,0
24.79,59706.12,0
55.74,61790.12,0
43.47,40751.89,0
18.39,46673.77,0
22.26,122511.74,0
45.87,41735.46,0
18.21,23699.46,0
24.75,101816.14,0
41.05,146877.81,1
47.06,63057.8,0
45.38,35425.24,0
27.42,94150.35,0
47.91,137826.05,1
27.96,121928.03,1
31.67,100927.06,0
49.35,60957.34,0
45.28,90444.42,0
53.67,31861.83,0
45.62,108262.91,1
41.87,114262.48,1
21.93,145454.11,1
33.44,53851.66,0
29.14,22399.33,0
28.25,90929.1,0
58.87,111882.77,1
34.51,122752.97,1
55.47,45186.06,0
44.51,54027.87,0
51.38,86636.82,0
39.11,62978.11,0
42.23,131866.49,1
38.69,81588.82,0
26.2,123945.22,1
48.34,95480.57,1
29.79,120501.72,1
19.02,63247.49,0
45.11,128084.16,1
25.44,55694.4,0
57.5,90992.85,1
58.07,47820.92,0
56.42,81818.45,1
33.55,61362.78,0
18.65,54671.45,0
56.99,145708.05,1
35.98,40809.63,0
58.6,122352.36,1
58.47,147941.44,1
53.83,22587.19,0
30.37,110873.56,0
34.17,52878.53,0
53.75,25263.42,0
31.31,72375.65,0
25.12,141578.32,1
41.39,21529.46,0
57.32,96425.14,1
47.23,85181.54,0
41.94,133539.94,1
22.08,30920.22,0
43.83,108598.38,1
59.58,108414.26,1
23.88,106980.4,0
39.77,142503.48,1
54.85,127001.38,1
49.11,25456.45,0
47.27,81240.77,0
47.5,71733.9,0
33.1,60319.14,0
30.33,78673.77,0
51.99,69945.24,0
52.02,76203.41,0
54.42,147304.04,1
56.36,31522.29,0
39.48,139890.01,1
39.06,82430.77,0
51.53,101086.49,1
45.3,127923.79,1
47.48,66860.19,0
51.42,75954.85,0
55.38,73237.4,0
32.2,68715.03,0
33.77,140318.81,1
21.95,127760.89,1
42.29,34170.0,0
19.51,34056.04,0
37.56,75623.04,0
40.79,32825.46,0
30.03,100482.1,0
42.81,38679.91,0
19.28,87908.52,0
19.57,20938.59,0
52.55,61157.53,0
33.13,108034.79,0
23.34,82925.06,0
39.93,147175.03,1
50.34,133633.49,1
27.06,66679.2,0
44.16,25913.25,0
21.58,129931.42,1
20.17,138460.46,1
40.32,126681.56,1
40.71,36633.49,0
44.77,149728.97,1
48.5,53615.95,0
58.99,114146.64,1
39.68,138044.53,1
31.56,50639.32,0
51.4,138073.61,1
29.37,60232.61,0
36.44,146933.72,1
21.3,56563.8,0
19.06,143946.66,1
58.43,26960.8,0
53.11,112205.36,1
47.23,89174.45,0
35.18,82124.02,0
25.28,49054.26,0
24.57,111727.45,0
28.51,44805.23,0
41.07,91869.43,0
48.01,52921.9,0
45.73,144230.78,1
29.76,23722.06,0
58.1,45964.68,0
48.99,51500.38,0
41.28,73828.82,0
43.69,50254.93,0
35.62,83875.38,0
28.4,133420.52,1
32.95,112568.24,1
49.83,95395.06,1
18.6,31570.41,0
22.88,110218.97,0
19.93,41633.86,0
19.71,122227.76,0
53.93,52507.38,0
47.55,74216.33,0
37.92,65561.13,0
22.11,131645.81,1
38.65,36450.78,0
37.89,93533.83,0
25.27,38468.01,0
36.22,111623.46,1
34.74,137660.16,1
43.87,76499.0,0
44.67,83451.99,0
19.9,140564.97,1
33.73,87728.88,0
44.29,83387.8,0
39.13,95182.78,0
53.97,109599.87,1
45.67,33894.84,0
24.84,126744.37,1
20.96,76615.65,0
44.98,29405.31,0
19.11,122203.75,0
42.6,69003.5,0
57.49,33047.77,0
42.17,102391.28,1
34.3,134417.08,1
45.02,135407.96,1
37.25,144496.25,1
40.92,132801.71,1
57.54,20278.32,0
34.22,69431.35,0
58.37,126410.54,1
56.02,67612.89,0
26.22,98201.31,0
20.91,98821.2,0
22.23,67453.29,0
18.77,137581.61,1
21.97,85419.68,0
46.69,80421.95,0
20.99,149676.79,1
31.4,84155.05,0
53.48,43191.77,0
18.98,86699.02,0
52.21,125822.18,1
29.84,120991.84,1
22.96,122515.63,0
47.26,112043.09,1
44.42,53048.32,0
54.85,132070.93,1
48.87,136147.65,1
51.75,45239.85,0
29.85,36959.23,0
25.45,146828.65,1
49.53,132882.12,1
51.89,136120.7,1
59.6,135228.93,1
35.33,90419.29,0
33.62,104032.23,0
50.61,90897.17,1
32.31,26656.83,0
57.09,116915.4,1
54.05,85693.16,1
36.02,104202.18,0
49.54,85343.17,0
49.69,83935.47,0
22.33,42332.58,0
55.91,56232.78,0
39.22,40650.85,0
52.71,45436.62,0
31.44,146487.06,1
55.61,39904.75,0
34.35,55005.16,0
18.46,96776.66,0
56.03,99323.21,1
21.83,40016.64,0
31.41,123183.27,1
57.9,122076.37,1
57.93,50851.3,0
42.08,57526.62,0
44.54,141938.42,1
36.83,127337.29,1
30.31,110713.61,0
31.8,30690.32,0
46.25,74374.33,0
49.6,92709.24,1
51.25,44363.47,0
51.16,78269.46,0
21.83,98133.36,0
38.77,62558.97,0
20.42,121522.83,0
41.08,129258.45,1
36.54,62069.23,0
55.28,129025.43,1
32.74,33464.95,0
22.92,128904.78,1
24.01,39857.56,0
49.98,30780.53,0
43.97,103430.8,1
22.25,81351.86,0
21.53,138025.78,1
47.44,67214.6,0
21.06,57329.79,0
52.52,85095.54,0
47.66,79273.0,0
21.42,64775.65,0
21.56,110186.37,0
59.44,118743.04,1
33.72,130887.92,1
33.57,146471.36,1
52.14,54665.3,0
57.78,113092.15,1
59.41,71253.57,0
49.64,108020.66,1
33.8,81877.62,0
21.51,149190.5,1
50.64,114757.28,1
