epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05772,3.73915,4.34764,2.95757,0.00323,0.375,0.00341,0.00034,3.60936,4.22042,3.11392,0,0,0
2,3.41052,4.2251,4.4183,3.07667,0.00317,0.375,0.00364,0.0005,3.38177,4.21791,2.96844,1.22525e-05,1.22525e-05,1.22525e-05
3,4.55868,2.94591,4.188,2.69905,0.00159,0.125,0.00138,0.00028,3.04055,4.19873,2.74905,2.401e-05,2.401e-05,2.401e-05
4,5.63315,3.11482,4.08094,2.72256,0.00148,0.125,0.00127,0.00025,2.75535,4.18143,2.56176,3.52725e-05,3.52725e-05,3.52725e-05
5,6.69139,2.86532,4.16547,2.52321,0.00148,0.125,0.00127,0.00025,2.75535,4.18143,2.56176,4.604e-05,4.604e-05,4.604e-05
6,7.786,2.87224,4.32335,2.71889,0.00137,0.125,0.00111,0.00045,2.46716,4.17645,2.45161,5.63125e-05,5.63125e-05,5.63125e-05
7,8.83154,3.51539,4.28204,2.88075,0.00137,0.125,0.00111,0.00045,2.46716,4.17645,2.45161,6.609e-05,6.609e-05,6.609e-05
8,9.9121,3.39797,4.24546,2.91574,0.0013,0.125,0.00475,0.00065,2.54093,4.13029,2.47197,7.53725e-05,7.53725e-05,7.53725e-05
9,11.1113,3.03124,4.08224,2.72223,0.0013,0.125,0.00475,0.00065,2.54093,4.13029,2.47197,8.416e-05,8.416e-05,8.416e-05
10,12.2941,3.1491,4.23959,2.69666,0.00121,0.125,0.00718,0.00283,2.67913,4.21522,2.65841,9.24525e-05,9.24525e-05,9.24525e-05
11,13.3712,2.89841,4.17017,2.58751,0.00121,0.125,0.00718,0.00283,2.67913,4.21522,2.65841,0.00010025,0.00010025,0.00010025
12,14.4402,2.80893,4.21011,2.57944,0.00121,0.125,0.00718,0.00283,2.67913,4.21522,2.65841,0.000107553,0.000107553,0.000107553
13,15.7024,2.68577,4.02849,2.65492,0.0011,0.125,0.04153,0.01246,2.69695,4.26015,2.87108,0.00011436,0.00011436,0.00011436
14,16.8773,2.86321,4.16237,2.60963,0.0011,0.125,0.04153,0.01246,2.69695,4.26015,2.87108,0.000120672,0.000120672,0.000120672
15,18.0943,2.7429,4.16309,2.45405,0.0011,0.125,0.04153,0.01246,2.69695,4.26015,2.87108,0.00012649,0.00012649,0.00012649
16,19.1947,2.63497,4.16579,2.41953,0.00101,0.125,0.12401,0.0496,2.64931,4.29935,2.8916,0.000131813,0.000131813,0.000131813
17,20.3715,3.07427,4.33739,2.68667,0.00101,0.125,0.12401,0.0496,2.64931,4.29935,2.8916,0.00013664,0.00013664,0.00013664
18,21.559,2.44374,4.08677,2.45805,0.00101,0.125,0.12401,0.0496,2.64931,4.29935,2.8916,0.000140972,0.000140972,0.000140972
19,22.7744,2.64159,3.92796,2.37136,0.00101,0.125,0.12401,0.0496,2.64931,4.29935,2.8916,0.00014481,0.00014481,0.00014481
20,24.049,2.59233,4.09043,2.46942,0.00098,0.125,0.124,0.04065,2.58482,4.1843,2.67099,0.000148153,0.000148153,0.000148153
21,25.2779,3.31214,4.16268,2.58736,0.00098,0.125,0.124,0.04065,2.58482,4.1843,2.67099,0.000151,0.000151,0.000151
22,26.4851,2.55314,4.01167,2.59516,0.00098,0.125,0.124,0.04065,2.58482,4.1843,2.67099,0.000153353,0.000153353,0.000153353
23,27.6812,3.26941,4.1221,2.58609,0.00098,0.125,0.124,0.04065,2.58482,4.1843,2.67099,0.00015521,0.00015521,0.00015521
24,28.9581,2.89772,4.0226,2.54761,0.00291,0.5,0.12759,0.01695,2.58619,4.16717,2.51406,0.000156573,0.000156573,0.000156573
