epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26863,3.73915,4.34764,2.95757,0.00323,0.375,0.00341,0.00034,3.60936,4.22042,3.11392,0,0,0
2,2.40898,4.2251,4.4183,3.07667,0.00317,0.375,0.00364,0.0005,3.38177,4.21791,2.96844,1.22525e-05,1.22525e-05,1.22525e-05
3,3.59864,2.94591,4.188,2.69905,0.00159,0.125,0.00138,0.00028,3.04055,4.19873,2.74905,2.401e-05,2.401e-05,2.401e-05
4,4.80941,3.11483,4.08095,2.72256,0.00148,0.125,0.00127,0.00025,2.75535,4.18143,2.56176,3.52725e-05,3.52725e-05,3.52725e-05
5,5.88011,2.86532,4.16547,2.52321,0.00148,0.125,0.00127,0.00025,2.75535,4.18143,2.56176,4.604e-05,4.604e-05,4.604e-05
6,6.97622,2.87224,4.32335,2.71889,0.00137,0.125,0.00111,0.00045,2.46716,4.17645,2.45161,5.63125e-05,5.63125e-05,5.63125e-05
7,8.03334,3.51539,4.28204,2.88075,0.00137,0.125,0.00111,0.00045,2.46716,4.17645,2.45161,6.609e-05,6.609e-05,6.609e-05
8,9.11177,3.39797,4.24546,2.91574,0.0013,0.125,0.00475,0.00065,2.54093,4.13029,2.47197,7.53725e-05,7.53725e-05,7.53725e-05
9,10.1652,3.03124,4.08224,2.72223,0.0013,0.125,0.00475,0.00065,2.54093,4.13029,2.47197,8.416e-05,8.416e-05,8.416e-05
10,11.2785,3.1491,4.23959,2.69666,0.00121,0.125,0.00718,0.00283,2.67908,4.2152,2.65839,9.24525e-05,9.24525e-05,9.24525e-05
11,12.3567,2.89843,4.17016,2.58751,0.00121,0.125,0.00718,0.00283,2.67908,4.2152,2.65839,0.00010025,0.00010025,0.00010025
12,13.5661,2.80895,4.21011,2.57947,0.00121,0.125,0.00718,0.00283,2.67908,4.2152,2.65839,0.000107553,0.000107553,0.000107553
13,14.645,2.6858,4.02849,2.65494,0.0011,0.125,0.04153,0.01246,2.69685,4.26013,2.87104,0.00011436,0.00011436,0.00011436
